event_slug,event_start,event_end,outcome,n_obs,n_contracts,post_coef,post_se,post_t,pre_mean,post_mean,post_minus_pre
mineral_rights,2025-03-24,2025-03-24,pm_yes_price,355,12,-0.007249187274593671,0.0037606478913894976,-1.9276431838225663,0.3757213589347741,0.36747185247886477,-0.008249506455909328
mineral_rights,2025-03-24,2025-03-24,pm_minus_k,355,12,-0.012039354329157436,0.0026117841524483224,-4.609628371422493,0.014297133468437622,0.0022208409313455987,-0.012076292537092023
zelensky_suit,2025-06-30,2025-07-08,pm_yes_price,817,19,-0.014502052119021539,0.0017160091138841832,-8.45103443896995,0.186755125626709,0.17226704782921287,-0.01448807779749614
zelensky_suit,2025-06-30,2025-07-08,pm_minus_k,817,19,-0.011666240230311905,0.0013440292055733123,-8.680049646194648,0.05775165797562501,0.04640467614014282,-0.01134698183548219
