event,block,tx,request_timestamp,proposer,proposed_price,proposed_price_meaning,disputer,price,price_meaning,payout,block_timestamp,block_time_utc
RequestPrice,67500629,0x717213790efe17aa776d23ae0ba45aa25d74807ad381c1a743e9dbf7750b1a9e,1738613595,,,,,,,,1738613595,2025-02-03 20:13:15+00:00
ProposePrice,69376947,0x79fbcb114d72f0df11f85a3edb3df2fd6e2b201db49e4f8cd323140c82caa92a,1738613595,0x8e9a8267c7d5a592288c5f1a35b1b2ea5419d83c,1e+18,Yes,,,,,1742680702,2025-03-22 21:58:22+00:00
DisputePrice,69376998,0x94554648ea036744a9de2bced1c83fc75b006c87e133c60598d986dae381fdf8,1738613595,0x8e9a8267c7d5a592288c5f1a35b1b2ea5419d83c,,,0xd7f6ebdf0235f587154e2d7d38f9d80568494993,,,,1742680810,2025-03-22 22:00:10+00:00
RequestPrice,69376998,0x94554648ea036744a9de2bced1c83fc75b006c87e133c60598d986dae381fdf8,1742680810,,,,,,,,1742680810,2025-03-22 22:00:10+00:00
ProposePrice,69378812,0x45c6fbc09c77185b57177ffde2add40d8d89be25c6569a5dbeb04e043c638da1,1742680810,0x8e9a8267c7d5a592288c5f1a35b1b2ea5419d83c,1e+18,Yes,,,,,1742684664,2025-03-22 23:04:24+00:00
DisputePrice,69378834,0xa1d8a6101c55ffe90637f2a27fe79a78b26951215f24d7d8204025fe6081b576,1742680810,0x8e9a8267c7d5a592288c5f1a35b1b2ea5419d83c,,,0xd7f6ebdf0235f587154e2d7d38f9d80568494993,,,,1742684712,2025-03-22 23:05:12+00:00
Settle,69461688,0x0f0d0bd28dfae70d35269f883986e1780b58398fffe34f72a30aa3e998c807ea,1742680810,,,,,1e+18,Yes,1000000000.0,1742862087,2025-03-25 00:21:27+00:00
Settle,69461729,0x523d212d6bc47277fce0d70d612cf9d1a8368a8da2f23e9f176bf796ad9c6f31,1738613595,,,,,1e+18,Yes,1000000000.0,1742862175,2025-03-25 00:22:55+00:00
