event_slug,pm_resolver_proxy,event_start,event_end,outcome,n_obs,n_contracts,post_coef,post_se,post_t,pre_mean,post_mean,post_minus_pre
mineral_rights,chainlink_or_automated_likely,2025-03-24,2025-03-24,pm_yes_price,150,5,-0.01266292625968178,0.0031498069336057615,-4.020222993536247,0.2583048874760464,0.24564196121636458,-0.012662926259681823
mineral_rights,chainlink_or_automated_likely,2025-03-24,2025-03-24,pm_minus_k,150,5,-0.002547391002422883,0.003650680623381963,-0.6977852256117105,0.03941963196377144,0.03687224096134857,-0.0025473910024228705
mineral_rights,uma_likely_objective,2025-03-24,2025-03-24,pm_yes_price,2600,88,0.0005727644300537884,0.00038791299190364236,1.4765280926606943,0.034010951736434314,0.038315708139549515,0.004304756403115201
mineral_rights,uma_likely_objective,2025-03-24,2025-03-24,pm_minus_k,2600,88,0.0004219908534352228,0.00039127456795192556,1.0785031484261232,-0.00792762739980391,-0.007476721374473223,0.00045090602533068725
mineral_rights,uma_risk_exposed,2025-03-24,2025-03-24,pm_yes_price,355,12,-0.007249187274593671,0.0037606478913894976,-1.9276431838225663,0.3757213589347741,0.36747185247886477,-0.008249506455909328
mineral_rights,uma_risk_exposed,2025-03-24,2025-03-24,pm_minus_k,355,12,-0.012039354329157436,0.0026117841524483224,-4.609628371422493,0.014297133468437622,0.0022208409313455987,-0.012076292537092023
zelensky_suit,chainlink_or_automated_likely,2025-06-30,2025-07-08,pm_yes_price,230,5,0.007594825351859841,0.004862415932150593,1.561944814642941,0.17551518909372577,0.18311001444558558,0.0075948253518598186
zelensky_suit,chainlink_or_automated_likely,2025-06-30,2025-07-08,pm_minus_k,230,5,-0.0001965167467444872,0.0023694197530837215,-0.08293876443324454,0.02278386205138698,0.022587345304642494,-0.00019651674674448644
zelensky_suit,uma_likely_objective,2025-06-30,2025-07-08,pm_yes_price,1518,33,-0.0024148029744210696,0.002081388301456365,-1.1601885975487667,0.17815334006421224,0.17573853708979115,-0.002414802974421093
zelensky_suit,uma_likely_objective,2025-06-30,2025-07-08,pm_minus_k,1518,33,-0.0027894050160720283,0.00109619072195369,-2.5446347612763964,-0.0041733533394059715,-0.006962758355477999,-0.0027894050160720274
zelensky_suit,uma_risk_exposed,2025-06-30,2025-07-08,pm_yes_price,817,19,-0.014502052119021539,0.0017160091138841832,-8.45103443896995,0.186755125626709,0.17226704782921287,-0.01448807779749614
zelensky_suit,uma_risk_exposed,2025-06-30,2025-07-08,pm_minus_k,817,19,-0.011666240230311905,0.0013440292055733123,-8.680049646194648,0.05775165797562501,0.04640467614014282,-0.01134698183548219
