id,token_id,outcome_index,outcome_name,outcome_slug,cutoff_utc,cutoff_label,cutoff_local,trade_ts_utc,price,source_trade_ts_local
506730,4.12458E+76,1,No,no,2025-03-30 12:00:00+00:00,2025_03_30_open_0500_PT,2025-03-30 05:00:00-07:00,2025-03-29 18:53:09+00:00,0.999,2025-03-29 11:53:09-07:00
506730,4.12458E+76,1,No,no,2025-03-31 00:00:00+00:00,2025_03_30_close_1700_PT,2025-03-30 17:00:00-07:00,2025-03-30 14:42:32+00:00,0.999,2025-03-30 07:42:32-07:00
506730,4.12458E+76,1,No,no,2025-03-31 12:00:00+00:00,2025_03_31_open_0500_PT,2025-03-31 05:00:00-07:00,2025-03-30 14:42:32+00:00,0.999,2025-03-30 07:42:32-07:00
506730,4.12458E+76,1,No,no,2025-04-01 00:00:00+00:00,2025_03_31_close_1700_PT,2025-03-31 17:00:00-07:00,2025-03-30 14:42:32+00:00,0.999,2025-03-30 07:42:32-07:00
506730,8.31565E+76,0,Yes,yes,2025-03-17 12:00:00+00:00,2025_03_17_open_0500_PT,2025-03-17 05:00:00-07:00,2025-03-17 11:49:37+00:00,0.001,2025-03-17 04:49:37-07:00
506730,8.31565E+76,0,Yes,yes,2025-03-18 00:00:00+00:00,2025_03_17_close_1700_PT,2025-03-17 17:00:00-07:00,2025-03-17 18:11:55+00:00,0.001,2025-03-17 11:11:55-07:00
506730,8.31565E+76,0,Yes,yes,2025-03-18 12:00:00+00:00,2025_03_18_open_0500_PT,2025-03-18 05:00:00-07:00,2025-03-18 07:43:13+00:00,0.001369757,2025-03-18 00:43:13-07:00
506730,8.31565E+76,0,Yes,yes,2025-03-19 00:00:00+00:00,2025_03_18_close_1700_PT,2025-03-18 17:00:00-07:00,2025-03-18 22:26:14+00:00,0.001,2025-03-18 15:26:14-07:00
506730,8.31565E+76,0,Yes,yes,2025-03-19 12:00:00+00:00,2025_03_19_open_0500_PT,2025-03-19 05:00:00-07:00,2025-03-19 10:48:01+00:00,0.001,2025-03-19 03:48:01-07:00
506730,8.31565E+76,0,Yes,yes,2025-03-20 00:00:00+00:00,2025_03_19_close_1700_PT,2025-03-19 17:00:00-07:00,2025-03-19 17:41:22+00:00,0.001,2025-03-19 10:41:22-07:00
506730,8.31565E+76,0,Yes,yes,2025-03-20 12:00:00+00:00,2025_03_20_open_0500_PT,2025-03-20 05:00:00-07:00,2025-03-20 05:39:41+00:00,0.001,2025-03-19 22:39:41-07:00
506730,8.31565E+76,0,Yes,yes,2025-03-21 00:00:00+00:00,2025_03_20_close_1700_PT,2025-03-20 17:00:00-07:00,2025-03-20 05:39:41+00:00,0.001,2025-03-19 22:39:41-07:00
