condition_id,market_id_pm,request_id,prepared_block,init_block,init_tx,init_log_index
0xc635cfc916000aff903b80fe81472fd8e6cdccb88f616e8d8befb78db66552d3,507860,0x6526a572f5d486c19b0f9d97f02fc6ffa316dcb6eaa96c8f1d5b6dee41e0eade,62225618,62225614,0x1ad1f87651a5c65ab28310f710018c08e643d715fcf75373057586e5c48131e3,222
0xc28a6a59080f7ed26620bfe111ce0bac356057cdd182a252f26632a0524aaa09,507861,0x5a5997fc4c3b07b118341e636726b40e327b21d05417d3b90625041d57b60134,62225644,62225639,0x86c45d2eb7b707d5db5e7d49a6fe7b9c7e918c1f7686b146dc50c8d3a311d03d,72
0xa94c8395a76220162cc1acaebb7c3372fdb064c597e298e7f0dc3146034187d1,525421,0xdfc512af9a687c94db190fb0352329a6c2f0837ab3807bb8b1e9b79eaf9f95c8,68407696,68407692,0x85b452e2eb4fecbfe804fec712dc3cfc6ed079a01332ff2a182fa234d5895ed7,363
0x84d62ee93bfa7d38836e278801c8c5ccb791482d36b0fbedc990ac2ba1610d9c,525390,0x2ee085c563aa161f251a9a1c12c5b26b29f711ae8a1825298e8444e8a0be4573,68407694,68407691,0x52716ec6d7401fbcdc1533a67e0bfa010598fb97ac1da93ac152795c7de21e1b,468
0x8292efeee76cf38a3d1c07b97f1372eddd638e680d892dc6632e42ba08c9dec9,525625,0x0ad86e1d70baf3678e1e81293e57cc76e415c271bf4eec5f7df20decec61b59d,68608663,68608660,0x80d693366aa0fcaf4a54eff716e1869db11ef4228848a301c23c4b869a828beb,234
0xded5e3aac89222e48578b1f7a2ef39a61d18017d5c5c709701ba2ae5d5ddfbc9,509118,0x5db75d5d8e84fd2e5f1a135c542e21e3e682e65a2bbc7a5fb4789e934ae8bd8a,62788508,62788503,0x29993c3cc82e1adeb66e2328002a4f0467abf4159331bacb9b2b6e9397a5fa0b,313
0x2d7e29af3bba553a336d02292525b67218cfa5a6f123ed0eda1bd44d9981526e,509092,0x0a6f0dd214ca45008c96e00bb82ef67c8044d8b7b51083f9da97fd4804ce5867,62787578,62787574,0x8855e1a6a7c6b70e552121bc3415d959b82f323832125a77851c1a9a452111e9,410
0x3a5a0289c93118833ee682065e6935ded62984992f97fd5a59b4d2271214282d,509093,0x334392af397744fb3deb5dee032cf46653a8999a0fd687b5ab5a79d67c8a901e,62787590,62787586,0x17ad3355caa4e8d760490a303983478d75a85b402420c80eee9adc2c4a671812,332
0x497d6cf1098ea666aed470ead36e66ab5a9d54ff29cdf6357708a20aa1808e6e,507863,0x2762c3aca68521c7846a8683f5bcea90f82ac88de0ab35406ecfcb1fe14c90bd,62225964,62225961,0x204fb3370760e0a48f9ae4df0beaaae69c52b5132f71150fb86478076de2e7d7,240
0xba6c5ece6d70e46fc4fe5dfd73db248bc1a1a162bebc05e9b2cd8b91293cccce,507864,0xdf375dcd5161b86752b3fd073976e1a5bb208e44817b99321ad966b9a1b77ab7,62225974,62225969,0x682e14a8a707efc7b792546a803acca745b8c87f431efb3564b2c228ef2e867e,278
0x1b3f3f9a32da3ef3839f7ea2296c8b681ac58b88a19db50dd66de39e113556ef,509095,0x585eb1d7f6fbfe36d0395525063bb8e96e19843f392aa7e938e8c9b862ceddc0,62788070,62788065,0x00ecc54ab52e03dc260972fede9789d823e611eab826fc49c7cfb55e0da35459,387
0x9939fd74f2d2078cafd04de7a9a8060b27ff331f8db4a737121519b81440de1e,525370,0xb8be72b0a79ad4e24ecd71736e832ade5037147f60e9dedec6ae6232462638c0,68406967,68406963,0xcbd616267b1fd30a72ec8fe0565cc1be4e307a8a0dd275c36215815ed473a075,201
0xd2f0475a426f69d5da5971e0bbd1d47344332f577027b08bf94965078f6aa562,525366,0x7ca96b857c34d58974fb618db1d564d8f9ec6ada86faed8177a78da0cfab5444,68406901,68406896,0x9eae7924b9804d64a4c2e83aa4f7f0afb3f8a482aa83800fa95a7d1d986fb244,100
0xee49c41419021c5282902eabae4a3f58a9c3a7c20dadd8a389385509087eb881,509096,0xb5433c9f79391ab7886c53ac539feb45fcaf167b28cb67faf7d54208dadfeb0f,62788083,62788079,0x3e0db5d5df4d6223a166ed6e2ba5bc67e1809a4188d2f5383d28d1e78062a8d7,209
