event_slug,pm_resolver_proxy,event_start,event_end,outcome,n_obs,n_contracts,post_coef,post_se,post_t,pre_mean,post_mean,post_minus_pre
mineral_rights,chainlink_or_automated_likely,2025-03-24,2025-03-24,pm_abs_from_50,150,5,0.007424279417454104,0.003263747241503154,2.2747715641223407,0.29153304394271295,0.2989573233601671,0.00742427941745416
mineral_rights,chainlink_or_automated_likely,2025-03-24,2025-03-24,pm_abs_minus_k_abs_from_50,150,5,0.012977487525717295,0.003493276832842561,3.7149897207422895,-0.033001109871157674,-0.020023622345440386,0.012977487525717289
mineral_rights,uma_likely_objective,2025-03-24,2025-03-24,pm_abs_from_50,2600,88,0.00028267859531276465,0.00032950152575977366,0.8578976824491377,0.4732374640077164,0.4726309906119027,-0.0006064733958136559
mineral_rights,uma_likely_objective,2025-03-24,2025-03-24,pm_abs_minus_k_abs_from_50,2600,88,-0.00040707612230031617,0.00033331164432944796,-1.221307833752003,0.008130853934710013,0.007755216077188214,-0.0003756378575217991
mineral_rights,uma_risk_exposed,2025-03-24,2025-03-24,pm_abs_from_50,355,12,0.011713449284069002,0.003082553231388654,3.7999179267351146,0.19687479024501,0.20938350281268975,0.012508712567679742
mineral_rights,uma_risk_exposed,2025-03-24,2025-03-24,pm_abs_minus_k_abs_from_50,355,12,0.0012399851233073928,0.0027209229208081816,0.4557222528520163,0.03556860583784155,0.03672879467163216,0.0011601888337906124
zelensky_suit,chainlink_or_automated_likely,2025-06-30,2025-07-08,pm_abs_from_50,230,5,-0.007437293470177879,0.004793829844918058,-1.5514304242696804,0.32448481090627435,0.3170475174360963,-0.007437293470178019
zelensky_suit,chainlink_or_automated_likely,2025-06-30,2025-07-08,pm_abs_minus_k_abs_from_50,230,5,0.000354048628426452,0.0023504507953631864,0.1506300957777528,-0.022783862051386983,-0.022429813422960534,0.00035404862842644894
zelensky_suit,uma_likely_objective,2025-06-30,2025-07-08,pm_abs_from_50,1518,33,0.02703700457913247,0.00196048956850765,13.790945391111359,0.40419672301083187,0.43123372758996426,0.027037004579132384
zelensky_suit,uma_likely_objective,2025-06-30,2025-07-08,pm_abs_minus_k_abs_from_50,1518,33,-1.2325315969595863e-05,0.0010985795874532554,-0.011219320029574376,0.005253927134083847,0.005241601818114249,-1.2325315969597371e-05
zelensky_suit,uma_risk_exposed,2025-06-30,2025-07-08,pm_abs_from_50,817,19,0.020442910381074552,0.0016359167952041001,12.496302037490883,0.34369099806443043,0.3641216690418193,0.020430670977388876
zelensky_suit,uma_risk_exposed,2025-06-30,2025-07-08,pm_abs_minus_k_abs_from_50,817,19,0.01469500013351344,0.0013074872954557722,11.239115045007733,-0.05955978511598092,-0.044860049707543606,0.014699735408437317
