platform,category,market_key,event_key,status,volume,liquidity_or_oi,created_at,end_date,title,yes_sub_title,no_sub_title,slug
kalshi,direct_housing_data,FRM-22AUG04-T5.10,FRM-22AUG04,finalized,5360.0,4954.0,2022-07-30 06:49:03.356276-07:00,2022-08-04 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.10%?,Above 5.10%,5.10% or below,
kalshi,direct_housing_data,FRM-22JUN23-T5.80,FRM-22JUN23,finalized,5301.0,3211.0,2022-06-17 09:09:17.414952-07:00,2022-06-23 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.80%?,Above 5.80%%,5.80%% or below,
kalshi,direct_housing_data,FRM-22JUN09-T5.09,FRM-22JUN09,finalized,5197.0,3838.0,2022-06-03 06:29:31.857751-07:00,2022-06-09 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.09%?,Above 5.09%%,5.09%% or below,
kalshi,direct_housing_data,FRM-22NOV03-T7.15,FRM-22NOV03,finalized,5189.0,3403.0,2022-10-28 06:12:50.493779-07:00,2022-11-03 06:55:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 7.15%?,Above 7.15%,7.15% or below,
kalshi,direct_housing_data,FRM-22OCT13-T6.60,FRM-22OCT13,finalized,5136.0,3112.0,2022-10-08 06:37:25.028669-07:00,2022-10-13 06:55:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 6.60%?,Above 6.60%,6.60% or below,
kalshi,direct_housing_data,FRM-22OCT06-T6.70,FRM-22OCT06,finalized,5060.0,2256.0,2022-09-30 06:22:47.163514-07:00,2022-10-06 06:55:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 6.70%?,Above 6.70%,6.70% or below,
kalshi,direct_housing_data,FRM-22DEC08-T6.30,FRM-22DEC08,finalized,5056.0,1856.0,2022-12-02 06:33:27.620793-08:00,2022-12-08 06:55:00-08:00,Will the 30-Year Fixed Rate Mortgage rate be above 6.30%?,Above 6.30%,6.30% or below,
kalshi,direct_housing_data,FRM-23MAR02-T6.7,FRM-23MAR02,finalized,4990.0,4127.0,2023-02-24 06:31:48.160301-08:00,2023-03-02 08:55:00-08:00,Will the 30-Year Fixed Rate Mortgage rate be above 6.7%?,Above 6.7%,6.7% or below,
kalshi,direct_housing_data,FRM-22AUG04-T5.20,FRM-22AUG04,finalized,4950.0,4774.0,2022-07-30 06:49:03.356279-07:00,2022-08-04 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.20%?,Above 5.20%,5.20% or below,
kalshi,direct_housing_data,FRM-23MAY25-T6.5,FRM-23MAY25,finalized,4876.0,4206.0,2023-05-19 06:37:25.153091-07:00,2023-05-25 08:55:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 6.5%?,Above 6.5%,6.5% or below,
kalshi,direct_housing_data,FRM-21SEP30-T2.88,FRM-21SEP30,finalized,4854.0,1575.0,2021-09-23 07:21:57.230035-07:00,2021-09-29 17:00:00-07:00,Will the 30-Year Fixed Rate Mortgage rate be above 2.88%?,Above 2.88%%,2.88%% or below,
kalshi,direct_housing_data,FRM-22JUN30-T5.70,FRM-22JUN30,finalized,4806.0,3355.0,2022-06-24 07:18:57.831990-07:00,2022-06-30 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.70%?,Above 5.70%%,5.70%% or below,
kalshi,direct_housing_data,FRM-22AUG04-T5.30,FRM-22AUG04,finalized,4794.0,3579.0,2022-07-30 06:49:03.356282-07:00,2022-08-04 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.30%?,Above 5.30%,5.30% or below,
kalshi,direct_housing_data,FRM-23JAN12-T6.30,FRM-23JAN12,finalized,4647.0,3698.0,2023-01-06 06:45:15.548512-08:00,2023-01-12 08:55:00-08:00,Will the 30-Year Fixed Rate Mortgage rate be above 6.30%?,Above 6.30%,6.30% or below,
kalshi,direct_housing_data,FRMMAX-24MAR28-P7.0,FRMMAX-24MAR28,finalized,4626.0,1465.0,2024-01-04 08:19:41.709048-08:00,2024-03-28 08:55:00-07:00,"Will the 30-year fixed rate mortgage rate reach above 7.0% by March 28, 2024?",Above 7.0%,7.0% or below,
kalshi,direct_housing_data,FRM-22SEP15-T5.90,FRM-22SEP15,finalized,4573.0,3382.0,2022-09-09 06:11:45.871103-07:00,2022-09-15 06:55:00-07:00,Will the **30-Year Fixed Rate Mortgage** rate be above 5.90%?,Above 5.90%,5.90% or below,
kalshi,direct_housing_data,FRM-21NOV26-T3.10,FRM-21NOV26,finalized,4498.0,3074.0,2021-11-24 07:22:37.692018-08:00,2021-12-01 19:00:00-08:00,Will the **30-Year Fixed Rate Mortgage** rate be above 3.10%?,Above 3.10%%,3.10%% or below,
kalshi,direct_housing_data,FRMMIN-24DEC26-P6.0,FRMMIN-24DEC26,finalized,4350.0,2671.0,2024-09-30 07:13:59.923971-07:00,2024-12-26 06:55:00-08:00,"Will the 30-year fixed rate mortgage rate reach below 6.0% by December 26, 2024?",below 6.0%,below 6.0%,
