event_slug,pm_resolver_proxy,event_start,event_end,outcome,n_obs,n_contracts,post_coef,post_se,post_t,pre_mean,post_mean,post_minus_pre
mineral_rights,uma_risk_exposed,2025-03-24,2025-03-24,pm_abs_from_50,355,12,0.011713449284069002,0.003082553231388654,3.7999179267351146,0.19687479024501,0.20938350281268975,0.012508712567679742
mineral_rights,uma_risk_exposed,2025-03-24,2025-03-24,pm_abs_minus_k_abs_from_50,355,12,0.0012399851233073928,0.0027209229208081816,0.4557222528520163,0.03556860583784155,0.03672879467163216,0.0011601888337906124
zelensky_suit,uma_risk_exposed,2025-06-30,2025-07-08,pm_abs_from_50,817,19,0.020442910381074552,0.0016359167952041001,12.496302037490883,0.34369099806443043,0.3641216690418193,0.020430670977388876
zelensky_suit,uma_risk_exposed,2025-06-30,2025-07-08,pm_abs_minus_k_abs_from_50,817,19,0.01469500013351344,0.0013074872954557722,11.239115045007733,-0.05955978511598092,-0.044860049707543606,0.014699735408437317
