event_slug,event_start,event_end,outcome,n_obs,n_contracts,post_coef,post_se,post_t,pre_mean,post_mean,post_minus_pre
mineral_rights,2025-03-24,2025-03-24,pm_abs_from_50,3105,105,0.0009600420013741806,0.0003775213926578565,2.5430135087583134,0.45639824573307103,0.4568415788517759,0.00044333311870486947
mineral_rights,2025-03-24,2025-03-24,pm_abs_minus_k_abs_from_50,3105,105,0.0002578583235593892,0.00037582105142329957,0.6861199567795231,0.0070766515974544746,0.007372929042925352,0.00029627744547087737
zelensky_suit,2025-06-30,2025-07-08,pm_abs_from_50,2565,57,0.01970443385846694,0.0013577426034679736,14.512643124063041,0.37281218110420955,0.39251371995059375,0.019701538846384203
zelensky_suit,2025-06-30,2025-07-08,pm_abs_minus_k_abs_from_50,2565,57,0.004731457472055843,0.0008030900887313461,5.891565016734549,-0.019664775193246713,-0.014929761810703648,0.004735013382543065
