event_slug,event_start,event_end,outcome,n_obs,n_contracts,post_coef,post_se,post_t,pre_mean,post_mean,post_minus_pre
mineral_rights,2025-03-24,2025-03-24,pm_yes_price,3105,105,-0.000274101335390896,0.00043657511345121774,-0.627844618132416,0.05481460486018113,0.057613870041423994,0.002799265181242863
mineral_rights,2025-03-24,2025-03-24,pm_minus_k,3105,105,-9.530014051925182e-05,0.0004161401140463168,-0.2290097428786806,-0.005065356181846886,-0.005179266509981991,-0.00011391032813510508
zelensky_suit,2025-06-30,2025-07-08,pm_yes_price,2565,57,-0.004749100163142329,0.0014139559454977384,-3.3587327655180643,0.18049569502555587,0.17575011929395995,-0.004745575731595925
zelensky_suit,2025-06-30,2025-07-08,pm_minus_k,2565,57,-0.00522563315642736,0.0008024128592818051,-6.512399565860064,0.01966038655683282,0.014534813355570421,-0.0051255732012624
