exchange_pm,source_slug_pm,market_id_pm,event_group_pm,title_pm,yes_sub_title_pm,no_sub_title_pm,volume_pm,created_at_pm,end_date_pm,market_family_pm,predicate_pm,subject_pm,obj_pm,scope_pm,deadline_pm,season_pm,threshold_pm,direction_pm,contract_key,entity_signature_pm,parse_confidence_pm,parse_reason_pm,exchange_kalshi,source_slug_kalshi,market_id_kalshi,event_group_kalshi,title_kalshi,yes_sub_title_kalshi,no_sub_title_kalshi,volume_kalshi,created_at_kalshi,end_date_kalshi,market_family_kalshi,predicate_kalshi,subject_kalshi,obj_kalshi,scope_kalshi,deadline_kalshi,season_kalshi,threshold_kalshi,direction_kalshi,entity_signature_kalshi,parse_confidence_kalshi,parse_reason_kalshi,match_confidence,match_basis
polymarket,archive,507863,0x497d6cf1098ea666aed470ead36e66ab5a9d54ff29cdf6357708a20aa1808e6e,Will the Denver Nuggets win the 2025 NBA Finals?,,,38846310.001327,2024-09-24 08:21:38.740908-07:00,2025-06-23 05:00:00-07:00,sports,win,denver_nuggets,,nba_finals,,2025,,,sports|win|denver_nuggets|nba_finals|2025,sports|win|denver_nuggets|nba_finals|2025,0.86,sports outcome template,kalshi,archive,KXNBA-25-DEN,KXNBA-25,Will the Denver Nuggets win the NBA Finals?,Denver,Denver,5379153.0,2025-01-22 11:55:27.969465-08:00,2025-06-22 19:51:09.791711-07:00,sports,win,denver_nuggets,,nba_finals,,2025,,,sports|win|denver_nuggets|nba_finals|2025,0.86,sports outcome template,0.86,deterministic_contract_key
polymarket,archive,507865,0xa9abf9bd04f8853b341ceb26cf3d003ec1edb1483c4a856bc043dd4213b7235f,Will the Golden State Warriors win the 2025 NBA Finals?,,,12404981.247292,,2025-06-23 05:00:00-07:00,sports,win,golden_state_warriors,,nba_finals,,2025,,,sports|win|golden_state_warriors|nba_finals|2025,sports|win|golden_state_warriors|nba_finals|2025,0.86,sports outcome template,kalshi,archive,KXNBA-25-GSW,KXNBA-25,Will the Golden State Warriors win the NBA Finals?,Golden State,Golden State,4843736.0,2025-01-22 11:55:27.969465-08:00,2025-06-22 19:51:09.791711-07:00,sports,win,golden_state_warriors,,nba_finals,,2025,,,sports|win|golden_state_warriors|nba_finals|2025,0.86,sports outcome template,0.86,deterministic_contract_key
polymarket,archive,507868,0xf2a89afeddff5315e37211b0b0e4e93ed167fba2694cd35c252672d0aca73711,Will the Indiana Pacers win the 2025 NBA Finals?,,,73646892.531998,,2025-06-23 05:00:00-07:00,sports,win,indiana_pacers,,nba_finals,,2025,,,sports|win|indiana_pacers|nba_finals|2025,sports|win|indiana_pacers|nba_finals|2025,0.86,sports outcome template,kalshi,archive,KXNBA-25-IND,KXNBA-25,Will the Indiana Pacers win the NBA Finals?,Indiana,Indiana,58114197.0,2025-01-22 11:55:27.969465-08:00,2025-06-22 19:51:09.791711-07:00,sports,win,indiana_pacers,,nba_finals,,2025,,,sports|win|indiana_pacers|nba_finals|2025,0.86,sports outcome template,0.86,deterministic_contract_key
polymarket,archive,525410,0x1073cc3483263763397b853cb095ac8451f7e26b5a94231b5973c14bf6e7a95a,Will the Los Angeles Dodgers win the 2025 World Series?,,,10561644.990771,2025-02-26 10:37:27.649954-08:00,2025-10-31 05:00:00-07:00,sports,win,los_angeles_dodgers,,mlb_championship,,2025,,,sports|win|los_angeles_dodgers|mlb_championship|2025,sports|win|los_angeles_dodgers|mlb_championship|2025,0.86,sports outcome template,kalshi,archive,KXMLB-25-LAD,KXMLB-25,Will the Los Angeles D win the Pro Baseball Championship?,Los Angeles D,Los Angeles D,41324295.0,2025-02-12 20:32:37.352032-08:00,2025-11-01 21:26:30.868287-07:00,sports,win,los_angeles_dodgers,,mlb_championship,,2025,,,sports|win|los_angeles_dodgers|mlb_championship|2025,0.86,sports outcome template,0.86,deterministic_contract_key
polymarket,archive,507876,0xf4472853ab134236dbfe4cd5f83fcbc60f62767b2a474a1c0b0ed3190d813084,Will the Minnesota Timberwolves win the 2025 NBA Finals?,,,11741770.864215,2024-09-24 08:25:52.073463-07:00,2025-06-23 05:00:00-07:00,sports,win,minnesota_timberwolves,,nba_finals,,2025,,,sports|win|minnesota_timberwolves|nba_finals|2025,sports|win|minnesota_timberwolves|nba_finals|2025,0.86,sports outcome template,kalshi,archive,KXNBA-25-MIN,KXNBA-25,Will the Minnesota Timberwolves win the NBA Finals?,Minnesota,Minnesota,6131569.0,2025-01-22 11:55:27.969465-08:00,2025-06-22 19:51:09.791711-07:00,sports,win,minnesota_timberwolves,,nba_finals,,2025,,,sports|win|minnesota_timberwolves|nba_finals|2025,0.86,sports outcome template,0.86,deterministic_contract_key
polymarket,archive,507883,0xb3af306795f672a0bcaf4bd529ffa8343e88949bc74b098ccd2a0238ce676cd3,Will the New York Knicks win the 2025 NBA Finals?,,,9626994.082908,2024-09-24 08:28:16.673393-07:00,2025-06-23 05:00:00-07:00,sports,win,new_york_knicks,,nba_finals,,2025,,,sports|win|new_york_knicks|nba_finals|2025,sports|win|new_york_knicks|nba_finals|2025,0.86,sports outcome template,kalshi,archive,KXNBA-25-NYK,KXNBA-25,Will the New York Knicks win the NBA Finals?,New York,New York,6742838.0,2025-01-22 11:55:27.969466-08:00,2025-06-22 19:51:09.791711-07:00,sports,win,new_york_knicks,,nba_finals,,2025,,,sports|win|new_york_knicks|nba_finals|2025,0.86,sports outcome template,0.86,deterministic_contract_key
polymarket,archive,507884,0x6edc6c77c16ef3ba1bcd646159f12f8b8a39528e500dcff95b9220ccfbb75141,Will the Oklahoma City Thunder win the 2025 NBA Finals?,,,17203993.307106,2024-09-24 08:28:42.840486-07:00,2025-06-23 05:00:00-07:00,sports,win,oklahoma_city_thunder,,nba_finals,,2025,,,sports|win|oklahoma_city_thunder|nba_finals|2025,sports|win|oklahoma_city_thunder|nba_finals|2025,0.86,sports outcome template,kalshi,archive,KXNBA-25-OKC,KXNBA-25,Will the Oklahoma City Thunder win the NBA Finals?,Oklahoma City,Oklahoma City,35691758.0,2025-01-22 11:55:27.969466-08:00,2025-06-22 19:51:09.791711-07:00,sports,win,oklahoma_city_thunder,,nba_finals,,2025,,,sports|win|oklahoma_city_thunder|nba_finals|2025,0.86,sports outcome template,0.86,deterministic_contract_key
