exchange,source_slug,market_id,event_group,outcome_index,outcome_name,token_id,synthetic_binary,title,yes_sub_title,no_sub_title,volume,created_at,end_date,resolver_type,resolver_evidence,market_family,predicate,subject,obj,scope,deadline,season,threshold,direction,contract_key,entity_signature,parse_confidence,parse_reason
polymarket,mineral_rights;zelensky_suit,527793,0xcc248e5b3109197192b15a3fbc98f84887fd5b2e9baf2b72d94fc66b5102b760,0,Yes,34353004114733610600599108671624538601026150134280504474917975142881001506854,False,Will Volodymyr Zelenskyy be the first leader out in 2025?,,,1645702.005711,2025-03-11 13:33:12.439716-07:00,2025-12-31 04:00:00-08:00,,,office_exit,leave_office,volodymyr_zelenskyy,,,year:2025,,,,office_exit|leave_office|volodymyr_zelenskyy|year:2025,office_exit|leave_office|volodymyr_zelenskyy,0.88,office exit template
polymarket,mineral_rights;zelensky_suit,527807,0xb17868a887f1f40595b2433c741b81be879add5f0a54a14f8a7cc0684dc4a0eb,0,Yes,96309695544495520203095223116782609207881514291963878378807412991184449319557,False,Will Vladimir Putin be the first leader out in 2025?,,,1782662.475384,2025-03-11 13:33:20.224539-07:00,2025-12-31 04:00:00-08:00,,,office_exit,leave_office,vladimir_putin,,,year:2025,,,,office_exit|leave_office|vladimir_putin|year:2025,office_exit|leave_office|vladimir_putin,0.88,office exit template
polymarket,mineral_rights,527864,0x50367d046344f1a4c48dd9754792e6bbc4dd3b677987a40bd023c170a1ce52ab,0,Yes,14565754545456565688283938979080674943684657882221860483948776271627834461719,False,Trump-Putin-Xi meeting before July?,,,150874.710546,2025-03-12 09:14:48.389643-07:00,2025-06-30 05:00:00-07:00,,,,,,,,,,,,,,0.0,no supported template
polymarket,mineral_rights,527883,0xccf5ec6e7d759a1fa96e10cab0f754fbd18ce96e91d67e7200fc2947c45b9f90,0,Yes,34640517840991627193786603980769340863508486074161860354452561196139782226623,False,Russia x Ukraine Ceasefire in March?,,,1488182.343965,2025-03-12 22:11:26.319481-07:00,2025-03-31 05:00:00-07:00,,,,,,,,,,,,,,0.0,no supported template
polymarket,zelensky_suit,528950,0x04ccc9092b220092fb0d340a8461f06902cdc037f62af2de333ee4a86ad677da,0,Yes,83814989760577015840645408666689693740162147201824057667299258827292406650110,False,"Will Karoline Leavitt say ""Putin"" 5+ times during next White House press briefing?",,,213.832564,2025-03-19 07:38:25.930054-07:00,2025-12-31 04:00:00-08:00,,,,,,,,,,,,,,0.0,no supported template
polymarket,zelensky_suit,528995,0xc36780fa73c6e0115ddd61feb765f954f209f6624014544c4e4c08ea21f86ff4,0,Yes,92712087900266783712499410413985481965874857827044195926155356881342950098252,False,"Will Karoline Leavitt say ""Putin"" 5 or more times during next White House press briefing?",,,820.37339,2025-03-19 13:20:09.822443-07:00,2025-12-31 04:00:00-08:00,,,,,,,,,,,,,,0.0,no supported template
polymarket,zelensky_suit,536502,0x14dca1201ea665ce27f89534ff8869bf14e551b0138f7d2c57c1345a909a7583,0,Yes,38401695605203516602153122926538006647911743428951157094417724792317068872612,False,Will Trump meet with Vladimir Putin in 2025?,,,471641.4171,2025-04-11 11:19:31.455085-07:00,2025-12-31 04:00:00-08:00,,,leader_contact,meet,donald_trump,vladimir_putin,,year:2025,,,,leader_contact|meet|donald_trump|vladimir_putin|year:2025,leader_contact|meet|donald_trump|vladimir_putin,0.92,leader contact template
polymarket,zelensky_suit,537194,0x41eda073eeca4071d3a643a527bf8549851ff16c7e4b924a007671cb11920f98,0,Yes,75808883562514695201169204487787555859570951708948163798444132865757266366758,False,Russia x Ukraine ceasefire before October?,,,8775890.64125,2025-04-14 12:35:27.525312-07:00,2025-09-30 05:00:00-07:00,,,,,,,,,,,,,,0.0,no supported template
polymarket,zelensky_suit,537888,0x640938ae857aa2dfaa5aeb2af07ec853ab0eec5395a5d4ab1c31842f1d3ab271,0,Yes,73849230933275582377306880224601643818067786746445665179175712771203846256478,False,Will Russia capture Kupiansk by December 31?,,,1555128.092628,2025-04-17 14:24:39.276114-07:00,2025-08-31 05:00:00-07:00,,,,,,,,,,,,,,0.0,no supported template
polymarket,zelensky_suit,537889,0x6c064cca193052c93b50e9a1ef319838cf04a2d48ad9073444be273af43a46be,0,Yes,60462631124656033910210509837219647463954397639045340722009179197608220392723,False,Will Russia capture Siversk by August 31?,,,798739.343528,2025-04-17 14:27:02.316451-07:00,2025-08-31 05:00:00-07:00,,,,,,,,,,,,,,0.0,no supported template
