exchange_pm,source_slug_pm,market_id_pm,event_group_pm,outcome_index_pm,outcome_name_pm,token_id_pm,synthetic_binary_pm,title_pm,yes_sub_title_pm,no_sub_title_pm,volume_pm,created_at_pm,end_date_pm,resolver_type_pm,resolver_evidence_pm,market_family_pm,predicate_pm,subject_pm,obj_pm,scope_pm,deadline_pm,season_pm,threshold_pm,direction_pm,contract_key,entity_signature_pm,parse_confidence_pm,parse_reason_pm,exchange_kalshi,source_slug_kalshi,market_id_kalshi,event_group_kalshi,outcome_index_kalshi,outcome_name_kalshi,token_id_kalshi,synthetic_binary_kalshi,title_kalshi,yes_sub_title_kalshi,no_sub_title_kalshi,volume_kalshi,created_at_kalshi,end_date_kalshi,resolver_type_kalshi,resolver_evidence_kalshi,market_family_kalshi,predicate_kalshi,subject_kalshi,obj_kalshi,scope_kalshi,deadline_kalshi,season_kalshi,threshold_kalshi,direction_kalshi,entity_signature_kalshi,parse_confidence_kalshi,parse_reason_kalshi,match_confidence,match_basis
polymarket,zelensky_suit,536502,0x14dca1201ea665ce27f89534ff8869bf14e551b0138f7d2c57c1345a909a7583,0,Yes,38401695605203516602153122926538006647911743428951157094417724792317068872612,False,Will Trump meet with Vladimir Putin in 2025?,,,471641.4171,2025-04-11 11:19:31.455085-07:00,2025-12-31 04:00:00-08:00,,,leader_contact,meet,donald_trump,vladimir_putin,,year:2025,,,,leader_contact|meet|donald_trump|vladimir_putin|year:2025,leader_contact|meet|donald_trump|vladimir_putin,0.92,leader contact template,kalshi,mineral_rights;zelensky_suit,KXWLEADER-25-VP,KXWLEADER-25,,,,False,Will Trump meet with Vladimir Putin before 2026?,Vladimir Putin,Vladimir Putin,284943.0,2025-01-03 15:46:35.854834-08:00,2025-08-15 12:19:58.491357-07:00,,,leader_contact,meet,donald_trump,vladimir_putin,,year:2025,,,,leader_contact|meet|donald_trump|vladimir_putin,0.92,leader contact template,0.92,deterministic_contract_key
polymarket,mineral_rights;zelensky_suit,527807,0xb17868a887f1f40595b2433c741b81be879add5f0a54a14f8a7cc0684dc4a0eb,0,Yes,96309695544495520203095223116782609207881514291963878378807412991184449319557,False,Will Vladimir Putin be the first leader out in 2025?,,,1782662.475384,2025-03-11 13:33:20.224539-07:00,2025-12-31 04:00:00-08:00,,,office_exit,leave_office,vladimir_putin,,,year:2025,,,,office_exit|leave_office|vladimir_putin|year:2025,office_exit|leave_office|vladimir_putin,0.88,office exit template,kalshi,zelensky_suit,KXLEADEROUT-25-VPUT,KXLEADEROUT-25,,,,False,Vladimir Putin out this year?,Vladimir Putin,Vladimir Putin,4073.0,2025-05-19 08:31:28.775998-07:00,2025-08-01 07:00:00-07:00,,,office_exit,leave_office,vladimir_putin,,,year:2025,,,,office_exit|leave_office|vladimir_putin,0.88,office exit template,0.88,deterministic_contract_key
polymarket,mineral_rights;zelensky_suit,525157,0xb58d0e3b3dd34b2b8d8997e6ce36ca3873bdd6034fe0dde633f11e50d4b18c69,0,Yes,74129046843921940913413587682588886122583847748489066762857187137233978267670,False,Zelensky resigns in 2025?,,,639799.279247,2025-02-24 15:06:16.266385-08:00,2025-12-31 04:00:00-08:00,,,office_exit,resign,volodymyr_zelenskyy,,,year:2025,,,,office_exit|resign|volodymyr_zelenskyy|year:2025,office_exit|resign|volodymyr_zelenskyy,0.88,office exit template,kalshi,mineral_rights;zelensky_suit,KXUKRAINERESIGN-26,KXUKRAINERESIGN-26,,,,False,"Will Volodymyr Zelenskyy resign before Jan 1, 2026?",Before 2026,Before 2026,200256.0,2025-03-05 08:31:39.586364-08:00,2026-01-01 07:00:00-08:00,,,office_exit,resign,volodymyr_zelenskyy,,,year:2025,,,,office_exit|resign|volodymyr_zelenskyy,0.88,office exit template,0.88,deterministic_contract_key
